I0,I1,I2,I3,I4,I5,I6,I7,I8
-0.000,0.000,-0.001,-0.010,0.093,1.008,0.533,5.179,0.024
-0.000,-0.001,-0.002,-0.009,0.094,1.008,0.533,5.180,0.023
-0.000,0.000,0.001,-0.009,0.094,1.008,0.533,5.182,0.023
-0.000,0.002,-0.001,-0.009,0.093,1.009,0.533,5.183,0.023
0.002,0.000,0.001,-0.009,0.093,1.009,0.532,5.185,0.023
-0.003,-0.001,0.001,-0.010,0.093,1.009,0.532,5.186,0.023
0.001,-0.001,-0.002,-0.010,0.093,1.009,0.532,5.187,0.023
-0.002,0.002,-0.001,-0.010,0.093,1.009,0.532,5.188,0.022
0.001,-0.001,0.001,-0.010,0.094,1.009,0.533,5.190,0.022
0.001,0.000,0.001,-0.010,0.094,1.009,0.533,5.192,0.022
-0.000,0.000,0.001,-0.009,0.093,1.009,0.533,5.194,0.022
0.001,0.000,0.001,-0.009,0.093,1.009,0.532,5.196,0.023
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.532,5.196,0.023
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.531,5.197,0.023
-0.000,-0.001,-0.001,-0.010,0.094,1.009,0.531,5.199,0.022
0.001,0.000,-0.001,-0.010,0.094,1.009,0.531,5.201,0.022
-0.000,-0.001,0.002,-0.009,0.093,1.010,0.531,5.201,0.023
-0.000,0.002,-0.002,-0.009,0.094,1.009,0.530,5.202,0.023
0.001,-0.001,-0.001,-0.009,0.094,1.009,0.530,5.203,0.022
-0.000,-0.001,-0.001,-0.009,0.093,1.009,0.530,5.205,0.021
-0.000,0.000,0.001,-0.009,0.093,1.009,0.529,5.205,0.022
0.001,0.000,0.002,-0.009,0.093,1.009,0.529,5.206,0.023
-0.000,-0.001,-0.001,-0.009,0.093,1.009,0.529,5.206,0.023
-0.000,-0.001,0.001,-0.009,0.093,1.010,0.528,5.206,0.023
-0.000,0.000,0.001,-0.009,0.093,1.010,0.527,5.206,0.024
0.001,-0.001,0.001,-0.010,0.093,1.010,0.527,5.207,0.023
-0.002,-0.001,0.001,-0.010,0.093,1.010,0.528,5.207,0.024
-0.000,-0.001,0.002,-0.010,0.093,1.009,0.528,5.207,0.024
0.001,-0.001,-0.001,-0.009,0.093,1.009,0.529,5.208,0.024
-0.002,-0.001,-0.001,-0.009,0.093,1.009,0.528,5.208,0.024
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.528,5.208,0.024
0.002,0.000,0.002,-0.010,0.093,1.009,0.528,5.209,0.024
0.001,0.002,-0.001,-0.010,0.094,1.009,0.529,5.209,0.024
0.001,-0.001,0.001,-0.010,0.094,1.009,0.530,5.211,0.025
0.001,0.000,0.001,-0.010,0.094,1.010,0.530,5.213,0.025
0.002,0.000,-0.001,-0.010,0.094,1.010,0.531,5.215,0.025
0.001,0.000,0.001,-0.010,0.093,1.010,0.532,5.216,0.025
-0.002,0.002,0.001,-0.010,0.093,1.010,0.533,5.216,0.025
0.001,-0.001,0.001,-0.010,0.093,1.010,0.533,5.216,0.025
0.001,0.000,0.001,-0.009,0.094,1.009,0.533,5.218,0.026
-0.000,0.002,0.001,-0.009,0.094,1.009,0.533,5.219,0.026
0.001,0.000,-0.001,-0.009,0.094,1.008,0.532,5.220,0.026
-0.000,0.000,-0.001,-0.009,0.094,1.008,0.531,5.222,0.026
0.002,0.002,-0.001,-0.010,0.094,1.009,0.531,5.224,0.026
-0.000,0.000,0.001,-0.010,0.094,1.009,0.532,5.225,0.026
-0.003,0.002,-0.001,-0.010,0.093,1.009,0.532,5.225,0.026
0.001,0.000,0.001,-0.010,0.093,1.009,0.532,5.224,0.026
0.001,0.000,0.001,-0.009,0.093,1.009,0.532,5.226,0.026
-0.000,-0.001,-0.001,-0.010,0.094,1.009,0.532,5.226,0.026
0.001,-0.001,-0.001,-0.010,0.094,1.009,0.532,5.227,0.026
-0.002,0.000,-0.001,-0.010,0.093,1.009,0.532,5.228,0.025
0.001,0.000,0.001,-0.010,0.093,1.009,0.533,5.228,0.025
0.002,0.000,-0.001,-0.009,0.093,1.009,0.533,5.228,0.025
0.001,0.000,0.002,-0.009,0.093,1.009,0.532,5.228,0.026
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.532,5.227,0.026
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.532,5.228,0.026
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.532,5.228,0.026
0.001,-0.001,0.001,-0.010,0.093,1.009,0.532,5.228,0.026
-0.000,0.000,0.001,-0.010,0.093,1.009,0.532,5.227,0.026
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.533,5.228,0.025
0.002,0.000,-0.001,-0.010,0.093,1.009,0.533,5.228,0.026
0.001,0.002,-0.002,-0.010,0.093,1.009,0.534,5.230,0.025
0.001,0.000,0.001,-0.010,0.093,1.009,0.534,5.230,0.025
-0.002,0.000,0.001,-0.009,0.093,1.010,0.535,5.229,0.025
-0.002,0.000,0.001,-0.009,0.093,1.010,0.534,5.229,0.025
-0.000,-0.001,-0.001,-0.009,0.093,1.009,0.534,5.228,0.025
0.001,-0.001,-0.001,-0.009,0.093,1.009,0.533,5.229,0.025
0.001,0.000,0.001,-0.010,0.093,1.009,0.534,5.230,0.025
-0.000,0.000,0.001,-0.010,0.093,1.009,0.534,5.230,0.025
-0.000,0.000,0.001,-0.010,0.094,1.009,0.534,5.231,0.025
-0.002,0.000,0.001,-0.009,0.094,1.010,0.534,5.231,0.025
0.001,-0.001,0.001,-0.009,0.094,1.010,0.533,5.232,0.025
-0.002,-0.001,0.002,-0.010,0.093,1.009,0.532,5.233,0.026
0.001,-0.001,-0.002,-0.010,0.093,1.009,0.532,5.233,0.026
-0.000,-0.001,-0.001,-0.009,0.094,1.009,0.531,5.234,0.025
-0.002,0.002,0.001,-0.009,0.094,1.009,0.531,5.234,0.026
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.532,5.234,0.026
0.001,-0.001,0.001,-0.010,0.093,1.009,0.532,5.233,0.027
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.532,5.233,0.026
-0.002,0.000,0.001,-0.010,0.093,1.009,0.532,5.232,0.027
-0.000,0.002,0.002,-0.010,0.094,1.009,0.534,5.233,0.028
0.002,-0.001,0.002,-0.010,0.093,1.009,0.535,5.234,0.028
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.535,5.234,0.029
-0.000,-0.001,0.001,-0.010,0.094,1.009,0.535,5.234,0.029
0.001,0.000,0.001,-0.010,0.094,1.009,0.535,5.235,0.029
-0.000,0.000,0.001,-0.010,0.093,1.009,0.535,5.236,0.030
0.001,0.002,0.001,-0.010,0.093,1.009,0.536,5.236,0.030
0.001,-0.001,0.002,-0.010,0.093,1.008,0.536,5.236,0.031
-0.000,-0.001,-0.001,-0.010,0.093,1.008,0.535,5.236,0.032
-0.000,0.002,-0.001,-0.010,0.093,1.010,0.535,5.236,0.031
-0.002,-0.001,-0.001,-0.010,0.093,1.010,0.536,5.236,0.031
0.002,0.002,-0.001,-0.010,0.093,1.009,0.537,5.236,0.031
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.537,5.235,0.031
0.001,0.002,-0.001,-0.010,0.093,1.009,0.537,5.235,0.031
0.002,0.000,0.001,-0.010,0.093,1.009,0.538,5.236,0.031
0.001,0.002,-0.001,-0.010,0.093,1.009,0.539,5.236,0.031
-0.002,-0.001,-0.001,-0.010,0.093,1.008,0.540,5.236,0.031
-0.000,0.000,-0.001,-0.010,0.093,1.008,0.540,5.236,0.031
0.001,-0.001,0.001,-0.010,0.093,1.009,0.540,5.236,0.031
0.001,0.002,0.001,-0.010,0.093,1.009,0.541,5.235,0.031
-0.000,-0.001,0.001,-0.009,0.093,1.010,0.540,5.235,0.031
0.002,0.000,0.001,-0.009,0.093,1.010,0.539,5.235,0.031
-0.000,-0.003,0.001,-0.010,0.093,1.009,0.537,5.236,0.031
0.002,0.002,-0.001,-0.010,0.093,1.009,0.537,5.236,0.032
0.001,0.000,-0.001,-0.010,0.093,1.009,0.538,5.237,0.031
-0.000,0.000,0.001,-0.010,0.094,1.009,0.538,5.237,0.032
0.001,0.000,0.001,-0.010,0.094,1.009,0.538,5.238,0.032
0.001,-0.002,-0.001,-0.010,0.093,1.010,0.538,5.239,0.032
-0.000,-0.001,-0.001,-0.010,0.093,1.010,0.538,5.239,0.031
0.001,0.000,-0.001,-0.010,0.093,1.009,0.538,5.239,0.031
0.001,0.000,0.001,-0.010,0.093,1.009,0.538,5.239,0.031
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.538,5.239,0.031
-0.000,-0.001,-0.001,-0.009,0.093,1.009,0.537,5.239,0.030
-0.000,0.000,0.001,-0.010,0.094,1.009,0.537,5.240,0.031
-0.000,0.000,-0.002,-0.010,0.093,1.009,0.537,5.240,0.030
0.002,0.002,0.001,-0.010,0.093,1.009,0.538,5.240,0.031
-0.002,-0.001,0.001,-0.010,0.093,1.009,0.538,5.240,0.031
0.002,-0.001,0.001,-0.010,0.093,1.009,0.538,5.240,0.031
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.538,5.240,0.030
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.537,5.240,0.030
-0.002,0.000,-0.001,-0.009,0.093,1.009,0.537,5.240,0.030
0.003,-0.001,0.001,-0.009,0.093,1.009,0.536,5.240,0.029
0.001,0.000,0.001,-0.010,0.093,1.008,0.536,5.240,0.030
-0.000,0.002,-0.001,-0.010,0.093,1.008,0.537,5.241,0.030
-0.000,0.000,-0.001,-0.010,0.093,1.010,0.537,5.240,0.030
0.001,0.002,0.002,-0.010,0.094,1.009,0.537,5.240,0.030
-0.002,0.000,0.001,-0.010,0.094,1.009,0.539,5.241,0.031
0.002,0.000,-0.001,-0.010,0.093,1.009,0.540,5.242,0.031
