I0,I1,I2,I3,I4,I5,I6,I7,I8
-0.001,0.001,-0.001,0.001,0.907,-0.373,6.995,111.795,-115.179
0.002,-0.000,0.000,0.001,0.907,-0.373,6.987,111.802,-115.129
-0.000,-0.000,0.000,0.001,0.907,-0.372,6.975,111.807,-115.014
-0.000,0.001,0.000,0.001,0.907,-0.372,6.999,111.795,-115.030
-0.000,-0.000,-0.001,0.001,0.907,-0.372,7.044,111.776,-115.124
-0.000,-0.001,0.001,0.001,0.906,-0.372,7.079,111.751,-115.322
-0.000,-0.000,0.000,0.001,0.907,-0.372,7.054,111.756,-115.355
-0.001,-0.000,0.000,0.001,0.906,-0.372,7.018,111.768,-115.314
-0.001,0.001,-0.001,0.001,0.906,-0.372,7.025,111.769,-115.337
-0.000,-0.000,-0.001,0.002,0.906,-0.372,7.031,111.769,-115.392
0.001,-0.001,-0.001,0.001,0.906,-0.372,7.061,111.765,-115.421
-0.000,-0.000,-0.001,0.001,0.906,-0.372,7.105,111.752,-115.506
-0.000,0.001,0.000,0.001,0.906,-0.371,7.119,111.743,-115.601
-0.001,-0.000,0.001,0.001,0.906,-0.371,7.028,111.770,-115.411
-0.003,-0.000,-0.001,0.002,0.906,-0.372,6.977,111.788,-115.312
0.001,-0.001,0.000,0.002,0.906,-0.372,6.918,111.807,-115.184
-0.000,-0.000,0.000,0.002,0.906,-0.372,6.990,111.794,-115.221
-0.003,-0.000,0.000,0.002,0.906,-0.372,6.998,111.792,-115.213
0.001,-0.001,0.000,0.002,0.907,-0.372,7.007,111.790,-115.202
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.974,111.799,-115.130
-0.000,0.001,0.000,0.001,0.906,-0.372,6.946,111.804,-115.086
-0.003,-0.001,0.000,0.001,0.906,-0.372,6.976,111.785,-115.241
-0.000,-0.000,0.000,0.001,0.907,-0.373,7.072,111.764,-115.364
-0.000,-0.000,-0.001,0.001,0.907,-0.373,7.086,111.765,-115.407
-0.001,0.001,0.000,0.001,0.906,-0.373,7.096,111.771,-115.448
-0.001,0.001,0.000,0.001,0.906,-0.372,7.109,111.781,-115.345
0.001,-0.001,0.001,0.001,0.906,-0.372,7.126,111.783,-115.320
-0.001,-0.001,-0.001,0.001,0.906,-0.372,7.117,111.790,-115.246
-0.000,0.001,0.000,0.002,0.906,-0.372,7.091,111.793,-115.202
0.001,-0.001,0.000,0.001,0.906,-0.372,7.060,111.792,-115.224
0.001,0.002,0.000,0.001,0.906,-0.372,7.004,111.801,-115.186
0.002,-0.001,-0.001,0.001,0.906,-0.373,6.985,111.804,-115.208
-0.000,-0.000,-0.001,0.002,0.906,-0.372,6.982,111.802,-115.235
-0.001,0.001,-0.001,0.001,0.906,-0.372,7.008,111.791,-115.286
0.001,-0.001,0.001,0.001,0.906,-0.372,6.991,111.789,-115.271
-0.001,-0.000,0.000,0.002,0.906,-0.372,6.956,111.800,-115.204
0.001,-0.001,0.000,0.001,0.906,-0.373,6.968,111.797,-115.245
-0.000,-0.003,-0.001,0.001,0.906,-0.373,7.002,111.796,-115.268
-0.000,-0.000,0.000,0.002,0.906,-0.373,7.007,111.794,-115.317
0.001,-0.000,0.000,0.002,0.906,-0.373,6.944,111.811,-115.250
0.001,-0.001,-0.001,0.001,0.906,-0.372,6.903,111.822,-115.178
-0.000,0.001,0.000,0.002,0.906,-0.372,6.810,111.840,-115.092
-0.001,-0.000,0.000,0.002,0.906,-0.372,6.828,111.832,-115.139
-0.001,-0.000,0.001,0.001,0.906,-0.372,6.806,111.828,-115.136
0.001,-0.000,0.000,0.002,0.906,-0.372,6.839,111.819,-115.159
-0.000,0.001,0.000,0.001,0.907,-0.373,6.866,111.816,-115.143
-0.003,-0.000,-0.001,0.001,0.907,-0.373,6.910,111.812,-115.139
-0.000,-0.000,-0.001,0.001,0.907,-0.372,6.912,111.810,-115.114
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.915,111.810,-115.114
-0.000,-0.000,0.000,0.001,0.906,-0.372,6.896,111.806,-115.216
-0.000,-0.000,-0.001,0.001,0.906,-0.373,6.934,111.796,-115.337
-0.001,0.001,-0.001,0.001,0.906,-0.373,6.920,111.805,-115.343
-0.000,-0.001,0.000,0.002,0.906,-0.373,6.957,111.802,-115.368
-0.001,-0.000,0.000,0.002,0.906,-0.373,6.988,111.798,-115.394
-0.000,-0.000,0.000,0.001,0.906,-0.372,7.060,111.782,-115.465
-0.000,-0.003,-0.001,0.001,0.907,-0.372,7.066,111.780,-115.429
-0.001,-0.001,-0.001,0.001,0.907,-0.372,7.004,111.783,-115.393
0.001,-0.000,0.000,0.001,0.907,-0.372,6.920,111.806,-115.253
0.001,-0.000,0.000,0.001,0.906,-0.372,6.899,111.815,-115.164
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.911,111.814,-115.160
0.001,-0.003,-0.001,0.001,0.907,-0.372,6.919,111.808,-115.188
-0.000,-0.000,0.000,0.002,0.906,-0.372,6.996,111.789,-115.263
-0.000,-0.000,-0.001,0.002,0.906,-0.372,7.014,111.784,-115.253
-0.001,-0.001,0.000,0.002,0.906,-0.372,7.056,111.764,-115.379
-0.000,0.001,0.000,0.001,0.906,-0.372,7.033,111.769,-115.373
-0.000,-0.001,-0.001,0.001,0.906,-0.373,6.994,111.786,-115.273
-0.001,-0.001,0.000,0.001,0.906,-0.373,6.973,111.797,-115.224
0.001,0.001,-0.001,0.001,0.906,-0.372,6.952,111.805,-115.188
-0.001,0.001,0.000,0.001,0.906,-0.372,6.978,111.799,-115.227
-0.000,0.001,0.000,0.001,0.906,-0.373,6.948,111.815,-115.137
-0.000,-0.001,0.000,0.001,0.907,-0.373,6.962,111.812,-115.199
-0.001,-0.001,-0.001,0.001,0.907,-0.372,6.903,111.824,-115.147
0.001,0.001,0.000,0.001,0.907,-0.372,6.970,111.811,-115.169
0.001,-0.000,0.001,0.001,0.906,-0.372,7.019,111.803,-115.147
-0.000,-0.000,-0.001,0.001,0.906,-0.373,7.036,111.802,-115.118
